"MONTH","CARRIER","ORIGIN","DEST","DEP_DELAY","ARR_DELAY",
1,"EV","PNS","IAH",-5.00,-1.00,
1,"EV","PNS","IAH",-10.00,-17.00,
1,"EV","PNS","IAH",-4.00,-5.00,
1,"EV","PNS","IAH",-5.00,-17.00,
1,"EV","PNS","IAH",-13.00,-15.00,
1,"EV","PNS","IAH",-10.00,-6.00,
1,"EV","IAH","VPS",11.00,4.00,
1,"EV","IAH","VPS",-4.00,-14.00,
1,"EV","IAH","VPS",-10.00,-1.00,
1,"EV","IAH","VPS",-10.00,-18.00,
1,"EV","IAH","VPS",-4.00,-19.00,
1,"EV","IAH","VPS",-6.00,-13.00,
1,"EV","IAH","VPS",20.00,4.00,
1,"EV","PNS","IAH",4.00,-10.00,
1,"EV","PNS","IAH",-1.00,-14.00,
1,"EV","PNS","IAH",-9.00,-23.00,
1,"EV","PNS","IAH",-11.00,-27.00,
1,"EV","VPS","IAH",-6.00,-10.00,
1,"EV","VPS","IAH",-5.00,-15.00,
1,"EV","VPS","IAH",-3.00,-15.00,
1,"EV","VPS","IAH",-15.00,-19.00,
1,"EV","VPS","IAH",-6.00,-24.00,
1,"EV","VPS","IAH",13.00,7.00,
1,"EV","VPS","IAH",-2.00,5.00,
1,"EV","VPS","IAH",-8.00,-30.00,
1,"EV","VPS","IAH",-4.00,-32.00,
1,"EV","VPS","IAH",-7.00,-17.00,
1,"EV","VPS","IAH",-8.00,,
1,"EV","VPS","IAH",-6.00,-16.00,
1,"EV","VPS","IAH",-4.00,-15.00,
1,"EV","VPS","IAH",-4.00,-14.00,
1,"EV","VPS","IAH",0.00,-5.00,
1,"EV","VPS","IAH",,,
1,"EV","VPS","IAH",6.00,-2.00,
1,"EV","VPS","IAH",7.00,-5.00,
1,"EV","VPS","IAH",-10.00,-11.00,
1,"EV","VPS","IAH",-4.00,-16.00,
1,"EV","VPS","IAH",-9.00,-13.00,
1,"EV","VPS","IAH",-7.00,-7.00,
1,"EV","VPS","IAH",-13.00,-16.00,
1,"EV","VPS","IAH",-10.00,-5.00,
1,"EV","VPS","IAH",-11.00,-19.00,
1,"EV","VPS","IAH",-9.00,-18.00,
1,"EV","VPS","IAH",32.00,26.00,
1,"EV","VPS","IAH",-9.00,-30.00,
1,"EV","VPS","IAH",-9.00,-11.00,
1,"EV","VPS","IAH",-10.00,-25.00,
1,"EV","VPS","IAH",-8.00,-20.00,
1,"EV","IAH","PNS",34.00,12.00,
1,"EV","IAH","PNS",7.00,1.00,
1,"EV","IAH","PNS",-6.00,-23.00,
1,"EV","IAH","PNS",-12.00,-18.00,
1,"EV","ECP","IAH",-5.00,-5.00,
1,"EV","ECP","IAH",-5.00,1.00,
1,"EV","ECP","IAH",20.00,3.00,
1,"EV","ECP","IAH",-5.00,-12.00,
1,"EV","ECP","IAH",-2.00,-16.00,
1,"EV","ECP","IAH",-12.00,-11.00,
1,"EV","ECP","IAH",-15.00,-37.00,
1,"EV","ECP","IAH",-8.00,-30.00,
1,"EV","ECP","IAH",-13.00,20.00,
1,"EV","ECP","IAH",-10.00,-21.00,
1,"EV","ECP","IAH",3.00,-4.00,
1,"EV","ECP","IAH",-3.00,20.00,
1,"EV","ECP","IAH",,,
1,"EV","ECP","IAH",,,
1,"EV","ECP","IAH",-3.00,6.00,
1,"EV","ECP","IAH",-8.00,2.00,
1,"EV","ECP","IAH",-7.00,-4.00,
1,"EV","ECP","IAH",-13.00,-20.00,
1,"EV","ECP","IAH",-10.00,-12.00,
1,"EV","ECP","IAH",-10.00,-9.00,
1,"EV","ECP","IAH",-11.00,14.00,
1,"EV","ECP","IAH",-12.00,-7.00,
1,"EV","ECP","IAH",-3.00,1.00,
1,"EV","ECP","IAH",-11.00,4.00,
1,"EV","ECP","IAH",290.00,286.00,
1,"EV","ECP","IAH",-8.00,-20.00,
1,"EV","IAH","ECP",-7.00,14.00,
1,"EV","IAH","ECP",-5.00,-12.00,
1,"EV","IAH","ECP",-12.00,4.00,
1,"EV","IAH","ECP",-9.00,-21.00,
1,"EV","IAH","ECP",-5.00,-9.00,
1,"EV","IAH","ECP",-4.00,3.00,
1,"EV","IAH","ECP",-1.00,-11.00,
1,"EV","IAH","ECP",0.00,-19.00,
1,"EV","IAH","ECP",,,
1,"EV","IAH","ECP",,,
1,"EV","IAH","ECP",6.00,0.00,
1,"EV","IAH","ECP",-7.00,-13.00,
1,"EV","IAH","ECP",-9.00,-5.00,
1,"EV","IAH","ECP",-7.00,-23.00,
1,"EV","IAH","ECP",-4.00,-7.00,
1,"EV","IAH","ECP",-5.00,-9.00,
1,"EV","IAH","ECP",-8.00,-23.00,
1,"EV","IAH","ECP",-15.00,-21.00,
1,"EV","IAH","ECP",-2.00,-16.00,
1,"EV","IAH","ECP",-12.00,-6.00,
1,"EV","IAH","ECP",5.00,-2.00,
1,"EV","IAH","ECP",-9.00,-9.00,
1,"EV","IAH","ECP",-8.00,-9.00,
1,"EV","IAH","ECP",26.00,11.00,
1,"EV","IAH","VPS",-6.00,-4.00,
1,"EV","IAH","VPS",-2.00,-3.00,
1,"EV","IAH","VPS",-5.00,-9.00,
1,"EV","IAH","VPS",-3.00,-7.00,
1,"EV","IAH","VPS",-3.00,-6.00,
1,"EV","IAH","VPS",-2.00,-6.00,
1,"EV","IAH","VPS",-9.00,-27.00,
1,"EV","IAH","VPS",14.00,4.00,
1,"EV","IAH","VPS",,,
1,"EV","IAH","VPS",18.00,13.00,
1,"EV","IAH","VPS",10.00,15.00,
1,"EV","IAH","VPS",0.00,-1.00,
1,"EV","IAH","VPS",-1.00,1.00,
1,"EV","IAH","VPS",-7.00,-20.00,
1,"EV","IAH","VPS",-5.00,-2.00,
1,"EV","IAH","VPS",-9.00,-19.00,
1,"EV","IAH","VPS",4.00,-11.00,
1,"EV","IAH","VPS",-4.00,-9.00,
1,"EV","IAH","VPS",-3.00,-11.00,
1,"EV","IAH","VPS",1.00,41.00,
1,"EV","IAH","VPS",-5.00,-1.00,
1,"EV","IAH","VPS",-10.00,-16.00,
1,"EV","IAH","VPS",-11.00,-20.00,
1,"EV","IAH","VPS",-7.00,-19.00,
1,"EV","ORD","PNS",72.00,59.00,
1,"EV","ORD","PNS",30.00,16.00,
1,"EV","ORD","PNS",20.00,29.00,
1,"EV","ORD","PNS",-5.00,-23.00,
1,"EV","ORD","PNS",-7.00,-24.00,
1,"EV","ORD","PNS",16.00,-7.00,
1,"EV","ORD","PNS",1.00,0.00,
1,"EV","PNS","IAH",-7.00,-5.00,
1,"EV","PNS","IAH",231.00,226.00,
1,"EV","PNS","IAH",-12.00,-26.00,
1,"EV","PNS","IAH",2.00,-12.00,
1,"EV","PNS","IAH",-12.00,-26.00,
