City,Population
Jacksonville,"856,616"
Miami,"432,622"
Tampa,"361,477"
Orlando,"263,306"
St. Petersburg,"253,585"
Hialeah,"235,626"
Tallahassee,"188,466"
Port St. Lucie,"175,652"
Fort Lauderdale,"175,153"
Cape Coral,"170,063"
Pembroke Pines,"164,753"
Hollywood,"148,114"
Miramar,"133,741"
Gainesville,"128,610"
Coral Springs,"127,673"
Miami Gardens,"112,514"
Lehigh Acres,"112,279"
Clearwater,"111,747"
Brandon,"109,784"
Palm Bay,"106,573"
Pompano Beach,"106,004"
West Palm Beach,"104,978"
Spring Hill,"102,929"
Lakeland,"102,714"
Davie,"98,717"
Miami Beach,"91,784"
Boca Raton,"91,702"
Sunrise,"91,177"
Plantation city,"90,878"
Deltona,"87,387"
Alafaya,"86,868"
Riverview,"84,590"
Town 'n' Country,"82,554"
Palm Coast,"80,948"
Largo,"80,678"
Melbourne,"78,911"
Deerfield Beach,"78,642"
Kendall,"74,559"
Boynton Beach,"72,748"
Fort Myers,"71,051"
Lauderhill,"70,452"
Pine Hills,"69,733"
The Villages,"69,457"
Weston,"68,893"
Kissimmee,"66,840"
Homestead,"65,688"
Delray Beach,"65,044"
Daytona Beach,"64,105"
Tamarac,"63,747"
North Miami,"62,158"
Poinciana,"62,145"
Wellington,"61,371"
North Port,"60,871"
Jupiter,"60,597"
Palm Harbor,"60,236"
Kendale Lakes,"59,217"
Port Orange,"58,780"
Port Charlotte,"58,001"
Ocala,"57,873"
Tamiami,"57,796"
Coconut Creek,"57,731"
Fountainebleau,"57,357"
Sanford,"57,039"
Margate,"56,245"
The Hammocks,"56,105"
Sarasota,"54,425"
Doral,"53,426"
Pensacola,"53,250"
Bradenton,"52,985"
Palm Beach Gardens,"51,865"
Wesley Chapel,"51,229"
Pinellas Park,"50,946"
Coral Gables,"50,533"
Country Club,"49,815"
Bonita Springs,"49,807"
Apopka,"47,023"
Titusville,"44,746"
St. Cloud,"44,198"
Cutler Bay,"44,002"
Fort Pierce,"43,883"
University CDP,"43,871"
North Miami Beach,"43,722"
Oakland Park,"43,660"
North Lauderdale,"43,087"
Altamonte Springs,"42,557"
Ocoee,"41,393"
Ormond Beach,"40,686"
North Fort Myers,"40,642"
Winter Garden and Kendall West,"39,219"
Greenacres,"39,190"
Hallandale Beach,"38,951"
South Miami Heights,"38,736"
The Acreage,"38,103"
Egypt Lake-Leto,"37,589"
Oviedo,"37,545"
Aventura,"37,515"
Lake Worth,"36,838"
Plant City,"36,830"
Royal Palm Beach,"36,829"
Valrico,"36,774"
Winter Haven,"36,669"
Panama City,"36,654"
Merritt Island,"35,916"
